yearr,monthh,revenue_made_in_month
2018,2,874903.2600000029
2017,12,1102116.049999998
2017,5,600639.1600000024
2017,11,754773.2899999974
2018,5,1170436.4699999895
2018,8,1347294.0799999926
2017,3,387208.44000000117
2017,9,670035.5999999995
2018,6,1171020.319999993
2017,8,627308.6200000029
2018,4,1300707.5599999882
2017,10,759839.3499999983
2018,3,1043619.5900000028
2018,1,993201.0500000053
2017,6,502044.55000000336
2018,7,947840.3699999966
2017,4,307684.27999999985
2017,1,38697.020000000055
2017,7,531115.5800000032
2017,2,228077.4099999996
2018,9,12875.179999999997
2016,10,34826.11000000002
2016,11,11571.27
2018,10,347.95
2016,12,960.85
