product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
perfumaria,225,16,10,14
artes,1000,30,18,20
esporte_lazer,154,18,9,15
bebes,371,26,4,26
utilidades_domesticas,625,20,17,13
instrumentos_musicais,200,38,5,11
cool_stuff,18350,70,24,44
moveis_decoracao,900,40,8,40
eletrodomesticos,400,27,13,17
brinquedos,600,17,10,12
cama_mesa_banho,1100,16,10,16
bebes,7150,50,19,45
instrumentos_musicais,250,17,7,17
moveis_decoracao,600,68,11,13
construcao_ferramentas_seguranca,200,17,7,17
esporte_lazer,800,16,2,11
perfumaria,400,27,5,20
informatica_acessorios,900,40,15,20
moveis_decoracao,1700,100,7,15
cama_mesa_banho,500,16,10,16
moveis_decoracao,2550,29,24,45
cama_mesa_banho,800,36,8,16
beleza_saude,75,21,7,13
bebes,500,20,13,13
moveis_decoracao,1800,40,10,30
utilidades_domesticas,900,50,5,50
malas_acessorios,3600,35,25,50
informatica_acessorios,300,42,2,30
informatica_acessorios,740,23,13,13
esporte_lazer,3600,62,23,23
cama_mesa_banho,650,16,10,16
ferramentas_jardim,2150,70,8,34
moveis_decoracao,800,40,10,34
moveis_escritorio,8950,52,51,17
esporte_lazer,1388,34,9,31
bebes,7950,33,30,44
automotivo,6000,87,3,42
eletronicos,263,18,12,16
utilidades_domesticas,3900,19,20,15
moveis_decoracao,600,25,25,25
moveis_decoracao,2050,49,13,41
brinquedos,725,22,17,15
cama_mesa_banho,6350,45,15,35
bebes,600,70,11,11
cool_stuff,11750,18,40,79
brinquedos,2550,22,32,38
cool_stuff,15350,47,40,47
moveis_decoracao,1300,25,16,25
moveis_decoracao,850,69,11,11
beleza_saude,1300,19,28,17
esporte_lazer,4800,60,30,15
cool_stuff,1300,36,16,24
automotivo,220,18,14,17
bebes,5700,41,17,49
malas_acessorios,450,20,40,30
fashion_calcados,2000,32,12,37
telefonia,100,19,3,11
cool_stuff,1100,30,20,23
papelaria,1400,38,40,39
brinquedos,250,20,14,12
esporte_lazer,1050,25,20,14
papelaria,500,24,7,16
beleza_saude,1467,23,16,20
fashion_bolsas_e_acessorios,100,16,5,11
papelaria,100,16,5,16
papelaria,300,23,7,15
esporte_lazer,950,60,15,15
ferramentas_jardim,250,17,3,11
pcs,12000,27,50,53
automotivo,921,17,9,16
casa_construcao,10000,60,25,25
relogios_presentes,250,16,11,11
cool_stuff,1200,44,20,20
construcao_ferramentas_construcao,4800,25,8,25
pet_shop,700,40,20,20
beleza_saude,1050,18,21,27
eletroportateis,350,20,20,20
perfumaria,422,21,16,18
relogios_presentes,317,19,13,16
agro_industria_e_comercio,16400,63,66,56
beleza_saude,938,29,22,23
beleza_saude,2700,21,16,31
cama_mesa_banho,1750,30,18,30
ferramentas_jardim,3850,29,12,24
perfumaria,267,17,13,17
instrumentos_musicais,16200,55,40,40
cama_mesa_banho,1400,38,9,27
cama_mesa_banho,6450,100,10,11
moveis_decoracao,2300,105,3,70
informatica_acessorios,300,25,8,18
esporte_lazer,600,50,10,12
beleza_saude,3600,20,20,20
beleza_saude,150,20,24,33
esporte_lazer,400,16,4,11
telefonia,100,18,6,11
moveis_decoracao,800,53,8,20
automotivo,5250,47,19,23
automotivo,200,35,4,26
relogios_presentes,335,17,11,12
cama_mesa_banho,1300,50,12,12
moveis_decoracao,150,35,2,25
informatica_acessorios,367,16,4,11
relogios_presentes,250,16,2,11
moveis_decoracao,8500,75,25,55
bebes,2150,42,25,15
esporte_lazer,150,16,5,11
cama_mesa_banho,650,27,10,22
eletroportateis,2700,20,26,32
utilidades_domesticas,1200,23,22,16
moveis_sala,6050,55,10,46
esporte_lazer,150,16,6,11
casa_construcao,1050,16,20,16
pet_shop,1350,23,7,30
utilidades_domesticas,600,36,6,19
moveis_decoracao,1000,30,18,18
cama_mesa_banho,1550,43,8,33
cama_mesa_banho,2700,45,13,35
telefonia,200,19,5,11
malas_acessorios,800,38,8,28
perfumaria,377,18,13,15
esporte_lazer,400,45,22,43
sinalizacao_e_seguranca,450,16,5,16
climatizacao,2000,32,51,16
fashion_bolsas_e_acessorios,300,16,2,11
moveis_decoracao,250,26,14,14
esporte_lazer,1950,60,15,15
telefonia,500,16,15,11
artes,7900,70,15,70
cama_mesa_banho,1800,41,9,34
ferramentas_jardim,900,37,3,23
fashion_bolsas_e_acessorios,200,16,2,11
bebes,4500,80,70,28
consoles_games,250,21,7,15
utilidades_domesticas,550,16,25,12
malas_acessorios,1100,39,12,28
cama_mesa_banho,3600,40,20,40
consoles_games,100,16,3,11
esporte_lazer,150,16,18,16
esporte_lazer,3775,18,13,16
cool_stuff,1400,25,20,20
consoles_games,900,22,7,18
relogios_presentes,250,20,12,20
brinquedos,350,21,9,16
bebes,1800,18,32,27
moveis_sala,5050,50,8,50
automotivo,27100,50,50,50
eletrodomesticos,1500,65,8,38
relogios_presentes,500,16,11,11
cama_mesa_banho,350,16,10,16
automotivo,500,16,12,17
esporte_lazer,1000,20,20,20
brinquedos,300,24,11,24
beleza_saude,250,16,2,20
beleza_saude,10700,40,40,40
utilidades_domesticas,1700,32,21,22
ferramentas_jardim,7700,39,28,25
esporte_lazer,5200,20,60,35
telefonia,125,17,10,14
moveis_escritorio,15700,58,28,58
relogios_presentes,350,16,11,11
esporte_lazer,213,16,10,13
fashion_bolsas_e_acessorios,150,16,11,11
automotivo,18200,56,15,15
utilidades_domesticas,850,18,21,15
fashion_bolsas_e_acessorios,200,16,9,11
utilidades_domesticas,300,16,15,11
informatica_acessorios,200,23,9,13
esporte_lazer,800,20,25,25
papelaria,200,24,7,14
esporte_lazer,698,46,10,14
telefonia,350,17,4,12
livros_interesse_geral,1000,24,5,17
informatica_acessorios,783,21,13,28
perfumaria,600,20,20,20
brinquedos,11650,55,30,30
construcao_ferramentas_ferramentas,400,16,2,11
brinquedos,3050,40,10,40
telefonia,100,16,3,11
ferramentas_jardim,16500,40,25,26
utilidades_domesticas,750,34,14,24
fashion_underwear_e_moda_praia,250,36,4,20
malas_acessorios,2300,84,14,20
eletronicos,1350,33,12,26
utilidades_domesticas,530,17,20,20
automotivo,1300,20,20,20
fashion_calcados,4000,57,14,36
esporte_lazer,8150,20,20,20
construcao_ferramentas_construcao,2200,16,2,11
beleza_saude,1150,20,25,20
relogios_presentes,200,16,2,11
moveis_decoracao,400,16,20,16
moveis_decoracao,600,29,12,23
cama_mesa_banho,1200,16,10,16
cool_stuff,10664,61,63,35
utilidades_domesticas,1800,50,12,36
esporte_lazer,500,16,2,11
papelaria,258,19,12,19
papelaria,1400,16,44,37
brinquedos,400,35,7,35
climatizacao,1300,30,10,30
cama_mesa_banho,1000,30,10,25
pet_shop,1300,30,10,18
brinquedos,3305,38,36,19
bebes,6000,75,15,50
informatica_acessorios,300,35,5,25
cama_mesa_banho,250,20,2,15
perfumaria,400,18,11,11
eletronicos,250,16,10,30
brinquedos,1250,29,19,22
fashion_roupa_masculina,950,40,6,40
pet_shop,2000,30,34,17
bebes,13575,71,81,44
beleza_saude,667,17,16,16
relogios_presentes,267,17,11,12
cama_mesa_banho,1750,45,20,40
beleza_saude,150,16,12,11
brinquedos,10550,65,7,45
utilidades_domesticas,1725,100,35,16
malas_acessorios,700,45,10,31
esporte_lazer,400,34,16,16
papelaria,300,30,10,20
casa_construcao,5850,60,25,25
relogios_presentes,267,17,11,13
cama_mesa_banho,1500,39,12,25
cool_stuff,400,24,16,14
esporte_lazer,1300,31,32,31
utilidades_domesticas,400,16,10,14
artes,150,25,2,19
beleza_saude,650,25,13,14
consoles_games,706,32,8,38
fashion_bolsas_e_acessorios,300,25,10,25
cama_mesa_banho,4850,75,5,50
automotivo,825,20,24,15
informatica_acessorios,600,46,3,15
esporte_lazer,700,23,9,11
moveis_decoracao,300,40,10,27
utilidades_domesticas,1270,17,14,17
construcao_ferramentas_ferramentas,450,20,2,11
eletrodomesticos,150,18,8,13
ferramentas_jardim,200,16,3,11
moveis_cozinha_area_de_servico_jantar_e_jardim,10893,33,88,44
utilidades_domesticas,1800,25,7,20
brinquedos,1220,20,33,22
beleza_saude,360,30,19,22
eletronicos,175,22,11,15
pet_shop,1900,50,13,70
esporte_lazer,250,20,20,20
bebes,6950,85,11,50
utilidades_domesticas,1100,55,5,40
bebes,300,17,7,24
moveis_escritorio,16500,58,28,58
malas_acessorios,300,16,23,19
eletronicos,1836,61,6,24
beleza_saude,175,18,22,16
brinquedos,675,22,24,21
esporte_lazer,200,26,5,20
industria_comercio_e_negocios,1200,30,20,30
informatica_acessorios,200,39,2,30
moveis_escritorio,16100,63,61,24
telefonia,117,19,4,12
telefonia_fixa,455,36,18,27
cama_mesa_banho,550,16,10,16
fashion_calcados,750,22,12,33
cool_stuff,586,18,11,13
construcao_ferramentas_iluminacao,540,16,27,16
esporte_lazer,3700,30,20,20
utilidades_domesticas,3150,30,17,30
cama_mesa_banho,2100,53,27,40
construcao_ferramentas_seguranca,314,20,19,18
cama_mesa_banho,550,23,15,23
automotivo,13825,70,35,49
cama_mesa_banho,850,40,6,50
bebes,250,21,4,13
brinquedos,400,20,20,20
perfumaria,400,16,20,15
consoles_games,200,16,2,16
automotivo,250,20,20,20
informatica_acessorios,1950,17,11,12
moveis_decoracao,300,35,10,25
relogios_presentes,1050,30,45,11
automotivo,400,16,7,11
instrumentos_musicais,1000,56,9,22
esporte_lazer,150,16,16,11
beleza_saude,700,16,16,16
consoles_games,450,17,7,17
beleza_saude,2000,30,12,16
construcao_ferramentas_construcao,21400,20,20,20
informatica_acessorios,188,20,16,15
moveis_decoracao,300,16,30,20
fashion_bolsas_e_acessorios,13600,26,60,40
moveis_decoracao,800,25,25,25
moveis_decoracao,1400,65,12,12
relogios_presentes,650,13,11,12
construcao_ferramentas_construcao,600,26,17,17
moveis_decoracao,3000,69,11,11
malas_acessorios,950,46,10,33
moveis_decoracao,17400,42,35,42
fashion_roupa_masculina,300,16,2,11
informatica_acessorios,700,20,20,20
pet_shop,625,21,16,17
ferramentas_jardim,3250,32,14,22
fashion_calcados,1500,22,12,33
cama_mesa_banho,250,32,3,23
ferramentas_jardim,425,31,6,12
climatizacao,150,20,8,13
moveis_decoracao,350,68,8,13
fashion_calcados,300,29,7,16
automotivo,550,16,21,18
automotivo,250,16,27,15
automotivo,1000,26,40,20
utilidades_domesticas,14850,35,102,35
bebes,850,42,25,15
consoles_games,1850,28,14,19
telefonia,200,19,4,11
beleza_saude,150,22,3,15
esporte_lazer,900,16,16,16
ferramentas_jardim,1900,44,19,19
cama_mesa_banho,1450,45,10,15
livros_tecnicos,1100,29,3,21
esporte_lazer,200,16,11,11
esporte_lazer,12600,20,10,20
beleza_saude,1450,25,25,16
cool_stuff,800,42,25,15
perfumaria,1300,22,14,14
eletronicos,200,20,20,20
ferramentas_jardim,11450,23,43,35
moveis_decoracao,2200,20,20,20
eletrodomesticos_2,13200,66,19,67
consoles_games,150,19,11,11
instrumentos_musicais,3350,30,30,30
cama_mesa_banho,2200,42,11,36
moveis_escritorio,30000,50,50,30
bebes,500,30,8,35
cama_mesa_banho,1800,45,10,34
artigos_de_festas,1300,70,11,11
fashion_bolsas_e_acessorios,150,16,9,11
malas_acessorios,700,19,48,35
malas_acessorios,2900,40,55,30
beleza_saude,300,16,18,16
papelaria,200,23,7,15
cama_mesa_banho,700,49,4,50
telefonia,200,17,13,16
climatizacao,7800,105,10,40
papelaria,550,16,4,11
cama_mesa_banho,1000,30,7,24
papelaria,1000,26,8,33
construcao_ferramentas_iluminacao,1450,60,5,30
moveis_escritorio,5850,45,55,16
bebes,8300,45,25,45
esporte_lazer,1800,28,12,18
esporte_lazer,900,26,6,13
esporte_lazer,415,19,19,19
telefonia,103,21,6,14
automotivo,500,20,8,14
papelaria,600,16,6,11
informatica_acessorios,4750,18,22,30
relogios_presentes,263,18,15,16
bebes,50,16,2,11
perfumaria,200,16,22,11
cama_mesa_banho,360,36,6,26
cool_stuff,150,16,7,12
esporte_lazer,1100,32,5,30
fashion_bolsas_e_acessorios,2250,22,15,20
automotivo,1475,68,9,35
esporte_lazer,1600,100,7,11
beleza_saude,1650,25,30,20
brinquedos,650,35,10,15
utilidades_domesticas,900,21,34,34
telefonia,75,19,3,11
ferramentas_jardim,600,19,7,14
moveis_decoracao,400,35,6,15
utilidades_domesticas,553,18,9,15
livros_interesse_geral,900,18,25,16
utilidades_domesticas,250,25,25,25
moveis_escritorio,14900,58,28,58
moveis_decoracao,2050,30,22,18
ferramentas_jardim,1400,20,20,30
informatica_acessorios,200,20,20,20
informatica_acessorios,617,17,14,17
utilidades_domesticas,2600,16,41,41
bebidas,200,20,9,14
cama_mesa_banho,2000,49,16,39
beleza_saude,266,20,8,18
bebes,300,68,7,13
pet_shop,300,16,16,16
relogios_presentes,200,16,2,20
eletroportateis,1300,20,16,20
esporte_lazer,482,18,11,16
beleza_saude,270,16,16,15
telefonia,300,17,4,12
market_place,2150,40,25,30
